wikidata_id,name,imdb_id
Q62028,Walter Frentz,nm0294286
Q52997,Otto Preminger,nm0695937
Q40504,Jim Carrey,nm0000120
Q55169,Krzysztof Zanussi,nm0953130
Q55170,Victor Sjöström,nm0803705
Q59206,Artur Balder,nm3470412
Q59215,Robert Redford,nm0000602
Q60100,Roland Emmerich,nm0000386
Q60422,Joshua Malina,nm0539651
Q60637,Alexander Kluge,nm0460176
Q60858,Douglas Sirk,nm0802862
Q53024,Raffaello Matarazzo,nm0558127
Q53040,Franco Zeffirelli,nm0001874
Q59382,Hallee Hirsh,nm0386645
Q59821,Robert Wise,nm0936404
Q242859,Sophie Muller,nm0612244
Q242939,Suzanne Somers,nm0001755
Q242951,Emma Thomas,nm0858799
Q52392,Tim Curry,nm0000347
Q52411,Tony Richardson,nm0724798
Q242329,Shonda Rhimes,nm0722274
Q8873,Satyajit Ray,nm0006249
Q9557,Aamir Khan,nm0451148
Q62618,Anny Ondra,nm0648565
Q62766,Jay-Z,nm0419650
Q238638,Chris Weitz,nm0919363
Q238855,Carrie Preston,nm0696387
Q8877,Steven Spielberg,nm0000229
Q241800,Aisha Tyler,nm0878768
Q241984,Jake Silbermann,nm2344615
Q242224,Brittany Andrews,nm0028587
Q51581,Howard Hawks,nm0001328
Q51582,William Friedkin,nm0001243
Q40096,Will Smith,nm0000226
Q55163,Robert Altman,nm0000265
Q55168,Thodoros Angelopoulos,nm0000766
Q59259,Michael Bay,nm0000881
Q61128,Percy Adlon,nm0000727
Q244234,John Turturro,nm0001806
Q40299,Nelsan Ellis,nm1734700
Q40321,Dave Chappelle,nm0152638
Q63722,André Hennicke,nm0377333
Q63781,Alfred Abel,nm0002154
Q64358,Hans-Jürgen Syberberg,nm0842944
Q53006,Pietro Germi,nm0314584
Q242707,Paul Bettany,nm0079273
Q242749,Lana Wood,nm0939836
Q62052,Jürgen Vogel,nm0900915
Q62310,Senta Berger,nm0000919
Q61654,Max Skladanowsky,nm0804434
Q61859,Henry Koster,nm0467396
Q40531,John Wayne,nm0000078
Q242416,Marion Davies,nm0203836
Q60119,Christoph Brüx,nm2076692
Q60341,Sean Anders,nm1890845
Q60361,Esteban Powell,nm0694112
Q10738,Dwayne Johnson,nm0425005
Q62515,Gunter Sachs,nm0755149
Q62574,Rainer Erler,nm0259554
Q62581,Natja Brunckhorst,nm0116040
Q53010,Marco Bellocchio,nm0069166
Q53011,Dario Argento,nm0000783
Q11319,David DeCoteau,nm0213983
Q11335,Joseph Zito,nm0957263
Q960993,Lewis Arquette,nm0000794
Q961058,Michael Roesch,nm1178069
Q961183,Ceán Chaffin,nm0149556
Q60970,Sakis Rouvas,nm1648391
Q61074,Carl Laemmle,nm0480674
Q9535,Shah Rukh Khan,nm0451321
Q62942,Rosa von Praunheim,nm0902823
Q62975,Sharon Stone,nm0000232
Q14089,Lori McCreary,nm0566975
Q11313,John Knoll,nm0461306
Q16297,William Shatner,nm0000638
Q63069,Joseph Vilsmaier,nm0005917
Q63491,Giorgio Diritti,nm2056836
Q244674,Benedict Cumberbatch,nm1212722
Q960828,Bartabas,nm0058388
Q960868,Hiroshi Inagaki,nm0408348
Q14537,Bill Hader,nm0352778
Q14540,Tina Fey,nm0275486
Q40523,Julia Roberts,nm0000210
Q962765,Tarak Ben Ammar,nm0069893
Q962944,Jacob Vargas,nm0889846
Q963032,David Callaham,nm1709264
Q245808,Roman Coppola,nm0178910
Q64392,Edgar Reitz,nm0718671
Q64577,Peter Berling,nm0075655
Q64628,Maryam Keshavarz,nm1991486
Q62845,Jeroen Krabbé,nm0469103
Q65857,Stipe Erceg,nm1449783
Q65902,Willi Münzenberg,nm1930911
Q9570,Amitabh Bachchan,nm0000821
Q959635,Andrew Young,nm0949258
Q959677,Allan Dwan,nm0245385
Q959750,Michael Pataki,nm0329029
Q40701,Joseph Strick,nm0834334
Q40715,Jennifer Lopez,nm0000182
Q962221,Eric Christian Olsen,nm0647638
Q962552,Harald Zwart,nm0958969
Q962681,Hakeem Kae-Kazim,nm0434444
Q53651,Josh Lucas,nm0524197
Q54855,Yoram Gross,nm0343518
Q54977,Alexander Maslyakov,nm1983702
Q40645,Ludwig Berger,nm0003490
Q16766,Andy Lau,nm0490489
Q17887,Jack Clayton,nm0002338
Q40128,Ricki Lake,nm0001442
Q40143,Janeane Garofalo,nm0000413
Q959829,Robert Z'Dar,nm0120494
Q960141,Derek Yee,nm0232504
Q960809,Richard Grieco,nm0001298
Q67547,Harun Farocki,nm0267943
Q67641,Michael Verhoeven,nm0894201
Q16345,Leonard Nimoy,nm0000559
Q962037,Fritz Leiber,nm0500021
Q963869,Raymond St. Jacques,nm0820566
Q11930,Kevin Costner,nm0000126
Q964595,Lamar Trotti,nm0873707
Q964774,Chatrichalerm Yugala,nm0950841
Q965186,David Horsley,nm0395438
Q965484,Bruno Heller,nm0375285
Q11998,Kylie Minogue,nm0001541
Q433805,Camilla More,nm0603319
Q433893,James Mangold,nm0003506
Q65932,Anthony Hopkins,nm0000164
Q41131,Melvin Frank,nm0291035
Q41136,Arthur Penn,nm0671957
Q433979,Philippe Garrel,nm0308042
Q434014,Marco St. John,nm0820660
Q434145,Hsu Feng,nm0271799
Q433157,Susan Downey,nm1206265
Q433417,Keith Carradine,nm0001018
Q435657,Courtney Jines,nm0423111
Q435814,Franny Armstrong,nm1671943
Q435920,Rod Serling,nm0785245
Q40791,Sandra Bullock,nm0000113
Q40912,Frank Sinatra,nm0000069
Q435029,Clarence Brown,nm0113284
Q435126,Georgia Byng,nm0125958
Q435626,Hou Hsiao-Hsien,nm0396284
Q434963,Gary Scott Thompson,nm0860155
Q248915,Michael Jai White,nm0925220
