wikidata_id,name,imdb_id
Q918558,John Seale,nm0005868
Q918883,Danny Cohen,nm0169299
Q919460,John Peverell Marley,nm0549132
Q643982,Christian Duguay,nm0240995
Q645627,Hal Mohr,nm0005803
Q648611,Dean Semler,nm0005871
Q458766,Peter Hyams,nm0001382
Q460090,Ronald Neame,nm0623768
Q460144,Wally Pfister,nm0002892
Q324937,Mikhail Kalatozov,nm0435563
Q325399,Ken Jacobs,nm0414499
Q325848,Witold Leszczyński,nm0504583
Q84650,Franz Planer,nm0005832
Q85038,Carl Froelich,nm0296193
Q85041,Erich Waschneck,nm0913297
Q1367135,Norman Dyhrenfurth,nm0245820
Q1367452,Newton Thomas Sigel,nm0005875
Q1367673,Pavel Klushantsev,nm0460246
Q1368602,Harold Rosson,nm0005849
Q1368789,Johannes Pääsuke,nm1818580
Q1370195,Lee Garmes,nm0005716
Q1370328,Peter Baumgartner,nm0062372
Q616171,Edward Lachman,nm0005767
Q616886,Ken Burns,nm0122741
Q617690,Matthew Libatique,nm0508732
Q78666,Gustav Ucicky,nm0879802
Q78667,Christian Berger,nm0074141
Q1231401,Ulf Brantås,nm0105308
Q1231672,Shaul Schwarz,nm5356362
Q1236238,Markus Nestroy,nm2627442
Q1236774,Norbert Wiedmer,nm0927317
Q1238255,András Polgár,nm0689029
Q1238622,Lionel Banes,nm0051861
Q71424,Walter Lassally,nm0007178
Q72014,Philip Gröning,nm0344973
Q72816,Michael Grzimek,nm0344851
Q926054,Mauro Fiore,nm0278475
Q927045,Freeman Harrison Owens,nm0654363
Q932305,Pierre Lhomme,nm0005774
Q933453,Lawrence Schiller,nm0771659
Q1377720,Aldo Giordani,nm0320291
Q1379839,Phil Parmet,nm0005824
Q1379980,Haskell Wexler,nm0005549
Q1203674,Guy Dufaux,nm0240338
Q1209629,Dick Bush,nm0124117
Q1212320,Iván Márk,nm0617268
Q1212365,Ernst Gaman,nm0303645
Q1212576,Tibor Máthé,nm0617368
Q1175411,David M. Walsh,nm0909607
Q1176233,Tibor Mestyán,nm0582348
Q1176422,István Mezei,nm0583782
Q1177096,David Watkin,nm0914239
Q1177260,David Worth,nm0175730
Q658352,Tamás Almási,nm0022031
Q661100,Aril Wretblad,nm0942149
Q662604,Vulo Radev,nm0705497
Q668170,Babak Najafi,nm0619836
Q674810,Arledge Armenaki,nm0035394
Q77588,Karl Walter Lindenlaub,nm0005776
Q77756,Ulrike Ottinger,nm0653200
Q77757,Fritz Arno Wagner,nm0005922
Q1389274,Noboru Shinoda,nm0793984
Q1389642,Lau Lauritzen,nm0491504
Q1390225,Fabian Eder,nm0249148
Q1240097,Donald McAlpine,nm0005791
Q86332,Guido Seeber,nm0005869
Q86545,Erwin Wagenhofer,nm2025932
Q86660,Otto Kanturek,nm0438002
Q86682,Walter Riml,nm0727270
Q684569,Joe D'Amato,nm0001090
Q684771,Bill L. Norton,nm0636165
Q684952,Dick Pope,nm0005836
Q88104,Robert van Ackeren,nm0885554
Q88199,Alexander Binder,nm0082768
Q88299,Martin Gschlacht,nm0345116
Q1223349,Dietmar Brehm,nm0106873
Q1225238,John McPherson,nm0574238
Q1226913,Dion Beebe,nm0066244
Q1227735,Gyula Pados,nm0655822
