wikidata_id,name,imdb_id
Q219124,Guillermo del Toro,nm0868219
Q221153,Zoltán Huszárik,nm0404177
Q221843,Ed Wood,nm0000248
Q13888,Luchino Visconti,nm0899581
Q274265,Małgorzata Szumowska,nm0844333
Q220489,Zoran Bihać,nm1406022
Q220548,Zoran Perisic,nm0673830
Q272972,Robin Wright,nm0000705
Q51549,Jacques Tati,nm0004244
Q273833,Rory Kennedy,nm0448311
Q13909,Angelina Jolie,nm0001401
Q274416,Édouard Niermans,nm0631230
Q274548,Anais Granofsky,nm0335200
Q274599,Carmen Chaplin,nm0152231
Q274653,Ella Lemhagen,nm0501281
Q223233,Sam Mendes,nm0005222
Q224026,Heather Graham,nm0001287
Q224081,Giovanni Ribisi,nm0000610
Q85877,Walter Janssen,nm0418079
Q85996,Carl Wilhelm,nm0928910
Q86018,Helmut Ashley,nm0005640
Q86036,Wolfgang Cerny,nm3755190
Q86259,Virgil Widrich,nm0927179
Q86260,Erich Engel,nm0257068
Q86274,Hans Thimig,nm0858160
Q274070,Alejandro Amenábar,nm0024622
Q274227,Édouard Baer,nm0046347
Q273180,Susan Oliver,nm0647010
Q85204,Artur Berger,nm0074112
Q85261,Lutz Hachmeister,nm0352355
Q85305,Achim von Borries,nm0902022
Q85306,Christian Anders,nm0025988
Q355300,Richard Curtis,nm0193485
Q354467,Al Boasberg,nm0090213
Q354554,Ning Hao,nm1928500
Q354603,Charles Avery,nm0043018
Q14537,Bill Hader,nm0352778
Q273962,Ildikó Enyedi,nm0258221
Q274004,Nicole Védrès,nm0904924
Q16297,William Shatner,nm0000638
Q16296,Patrick Stewart,nm0001772
Q85467,Josef Meinrad,nm0576938
Q85487,Lexi Alexander,nm0591994
Q85578,Leo Birinski,nm0083532
Q86066,Walter Rilla,nm0727210
Q86084,Otto Wernicke,nm0921532
Q223992,Wes Craven,nm0000127
Q223117,Stanley Tucci,nm0001804
Q274656,Élie Semoun,nm0783879
Q274812,Polly Draper,nm0237164
Q355723,Michele Lupo,nm0526971
Q355748,Mehmood Ali,nm0576454
Q355791,Marius Holst,nm0392319
Q86305,Luise Fleck,nm0281389
Q86321,Anton Kolm,nm0464253
Q86323,Leo Mittler,nm0594177
Q223790,Joseph Fiennes,nm0001212
Q16409,Tristan Tzara,nm0879262
Q274398,Édouard Montoute,nm0600180
Q274411,Édouard Molinaro,nm0596850
Q16345,Leonard Nimoy,nm0000559
Q275001,Emile Chautard,nm0154352
Q275011,Émile Cohl,nm0169871
Q275133,Li Yu,nm1165953
Q272952,Bonnie Hunt,nm0001372
Q273185,Hermína Týrlová,nm0879624
Q273342,Marianne Denicourt,nm0219099
Q273712,Caroline Thompson,nm0003031
Q18953,Peter DeLuise,nm0217938
Q19031,Zak Penn,nm0672015
Q355995,Chris Walas,nm0906901
Q356275,Paul Greengrass,nm0339030
Q356303,Albert Brooks,nm0000983
Q16766,Andy Lau,nm0490489
Q16836,Leon Lai,nm0481709
Q356452,Ades Zabel,nm0951389
Q356541,Phil LaMarr,nm0482851
Q354133,Dick Lowry,nm0523310
Q354241,Wim T. Schippers,nm0771931
Q354292,Adelchi Bianchi,nm0080577
Q86685,Reginald Le Borg,nm0494110
Q86714,Markus Schleinzer,nm0772207
Q86739,Carl-Heinz Schroth,nm0775594
Q86749,Hans Fischerkoesen,nm0279179
Q224754,Tony Goldwyn,nm0001282
Q224765,Mikko Niskanen,nm0632852
Q224834,Flávio Migliaccio,nm0585919
Q225852,D. A. Pennebaker,nm0672060
Q227129,Zoë Kravitz,nm2368789
Q357183,Jaume Collet-Serra,nm1429471
Q224998,János Zsombolyai,nm0958183
Q225456,Dirk Shafer,nm0787257
Q225531,Olivier Py,nm0701396
Q85310,Robert Freitag,nm0293910
Q85334,Hanns Schwarz,nm0777579
Q85349,Eduard von Borsody,nm0902025
Q85415,Max Neufeld,nm0626885
Q354863,Lee de Forest,nm0208418
Q355030,Yoshitaka Amano,nm0023923
Q224159,William H. Macy,nm0000513
Q86102,Thomas Mauch,nm0560761
Q86147,Kurt Kren,nm0470825
Q86179,Ernst Lothar,nm0521435
Q86210,Andreas Wisniewski,nm0936591
Q223455,Josh Radnor,nm1102140
Q223687,Wes Anderson,nm0027572
Q355062,Tetsuya Nomura,nm0634602
Q355163,Bruce Davison,nm0001117
Q355288,Berry Gordy,nm0330700
Q275402,Sam Raimi,nm0000600
Q275597,Germaine Dulac,nm0241273
Q18406,Ramón Barea,nm0054381
Q18558,David Bowers,nm0101047
Q18823,Matthew Michael Carnahan,nm1996352
Q224510,Olivier Jean-Marie,nm0419829
Q86543,Hans Jaray,nm0418579
Q85621,Andreas Hykade,nm0405069
Q85692,Alfred Halm,nm0356818
Q85720,Paulus Manker,nm0542524
Q85723,Joachim Masannek,nm0556076
Q86655,Leander Haußmann,nm0369686
Q86660,Otto Kanturek,nm0438002
Q86663,Fritz Eckhardt,nm0248657
Q227334,Zsolt Bács,nm0045873
Q228645,Ashley Judd,nm0000171
Q22539,Jan Fethke,nm0275312
Q23261,Hideaki Anno,nm0030417
Q228787,Jada Pinkett Smith,nm0000586
Q276269,Joe Mantegna,nm0001505
Q276432,Blanca Li,nm0508357
Q356375,Loren Bouchard,nm0098908
Q356397,Israel Horovitz,nm0395262
Q274883,Cecily Adams,nm0010820
Q274914,Julia Loktev,nm0518123
Q274985,Iris Yamashita,nm2111875
Q19200,Joseph Hahn,nm1060386
Q19504,Fritz Lang,nm0000485
Q86545,Erwin Wagenhofer,nm2025932
Q86589,Gabriel Barylli,nm0059509
Q86619,E. W. Emo,nm0256586
Q86632,Dietmar Schönherr,nm0778220
Q230184,Lee Grant,nm0335519
Q16397,Bruce Lee,nm0000045
Q356331,Michael Urie,nm1235530
Q86778,Alfred Braun,nm0105713
Q86885,Harry Horner,nm0395105
Q86907,Felix Basch,nm0059648
Q357363,Louis Wolheim,nm0938464
Q357386,Michael Kanin,nm0437720
Q17887,Jack Clayton,nm0002338
Q275728,Lois Wilson,nm0933773
