wikidata_id,name,imdb_id
Q89375,Ernst Arndt,nm0036128
Q89376,Wolfgang Heinz,nm0374594
Q38575,Brianna Love,nm1923034
Q38802,Adelaide Ferreira,nm0274389
Q38849,Shintarō Ishihara,nm0410982
Q23403,Josh Sussman,nm0839933
Q23410,Orli Shoshan,nm1051353
Q23454,Ryan Higa,nm3090514
Q39419,Allene Ray,nm0712735
Q39476,Emma Watson,nm0914612
Q23517,Ricky Gervais,nm0315041
Q23884,Lou Costello,nm0182579
Q23888,Bud Abbott,nm0007941
Q87845,Leonard Steckel,nm0824284
Q87847,Ida Krottendorf,nm0472345
Q87851,Ulrich Bettac,nm0079266
Q87852,Thomas Jahn,nm0415714
Q23844,George Clooney,nm0000123
Q4617,Corbin Bleu,nm0088298
Q87883,Maria Eis,nm0251916
Q201082,The Amazing Criswell,nm0188186
Q201181,Sarah Wayne Callies,nm0915637
Q23880,Lila Downs,nm1105038
Q23891,Andrew Garfield,nm1940449
Q201279,Woody Harrelson,nm0000437
Q201418,Abigail Breslin,nm1113550
Q4673,Paul Otto,nm0653288
Q89501,Jürgen Thormann,nm0861280
Q89507,Karin Baal,nm0044642
Q89509,Paul Klinger,nm0459778
Q89513,Jens Scheiblich,nm0770555
Q234058,Rhea Perlman,nm0674231
Q234060,Nathalia Ramos,nm2062561
Q43787,Manfred Tauchen,nm0851461
Q43790,Konrad Dreher,nm1333751
Q43797,Georg Blädel,nm0086044
Q43805,Peter Steiner,nm0825983
Q89436,Gertraud Jesserer,nm0422212
Q89446,Hans Peter Hallwachs,nm0356792
Q89458,Max Tidof,nm0862754
Q89461,Hans Karl Breslauer,nm0107713
Q89536,Roland Kickinger,nm0452199
Q89551,Ludwig Trautmann,nm0871215
Q89552,Danny Nucci,nm0001572
Q39574,Candice King,nm2127038
Q39666,Penélope Cruz,nm0004851
Q6060,50 Cent,nm1265067
Q89469,Rita Russek,nm0750931
Q89473,Doris Kunstmann,nm0475269
Q89474,Walter Schmidinger,nm0772767
Q87691,Hansi Knoteck,nm0461395
Q87816,Eugen Burg,nm0121112
Q87831,Rolf Olsen,nm0288975
Q89672,Laura Tonke,nm0867338
Q202056,Hank Azaria,nm0000279
Q5443,Greta Garbo,nm0001256
Q89499,Roland Hemmo,nm1013067
Q89500,Viktor Staal,nm0820865
Q4914,Jimmy Kimmel,nm0453994
Q4960,Jason Lee,nm0005134
Q89554,Sybil Danning,nm0000356
Q89561,Klaus Grünberg,nm0345063
Q89565,Suzanne Roquette,nm0740694
Q43823,Adolf Gondrell,nm0327272
Q43826,Weiß Ferdl,nm0919437
Q43831,Max Grießer,nm0341010
Q43874,Eddie Murphy,nm0000552
Q201927,David Hasselhoff,nm0001327
Q201976,Caroline Goodall,nm0328751
Q89481,Lotte Lang,nm0485834
Q89484,Henning Baum,nm0062098
Q89496,Christian Brückner,nm0117673
Q4689,Joan Lorring,nm0521156
Q4690,Margaret Wycherly,nm0943618
Q4826,Rosa Valetti,nm0884665
Q234076,Rosie Perez,nm0001609
Q201810,Marilou Berry,nm0077622
Q201842,Adam Scott,nm0004395
Q233937,Nancy Sinatra,nm0005434
Q89740,Hans Hass,nm0368275
Q89757,Veit Relin,nm0718801
Q89758,Arabella Kiesbauer,nm0452621
Q43881,Bernd Helfrich,nm0375063
Q43883,George Tobias,nm0864869
Q43890,Norbert Gastell,nm0309410
Q6078,Dr. Dre,nm0236564
Q5383,David Bowie,nm0000309
Q89573,Renate Ewert,nm0263929
Q89593,Andrea Spatzek,nm0817196
Q89604,Friedrich Kayssler,nm0443521
Q89609,Dagny Servaes,nm0785762
Q233946,Kate Voegele,nm2890132
Q233993,Barbara Bach,nm0000819
Q234068,Madeline Kahn,nm0001404
Q7542,Prince,nm0002239
